EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-18 08:00:00-05:00,0.96,,
2025-11-05 06:00:00-05:00,0.72,0.81,12.95
2025-08-06 06:00:00-04:00,0.63,0.71,13.6
2025-05-07 06:00:00-04:00,0.58,0.61,4.43
2025-02-19 06:00:00-05:00,0.88,0.89,0.57
2024-11-06 06:00:00-05:00,0.62,0.7,13.27
2024-08-06 06:00:00-04:00,0.58,0.62,6.56
2024-05-03 06:00:00-04:00,0.6,0.64,6.7
2024-02-12 06:00:00-05:00,0.6,0.63,5.77
2023-11-01 07:00:00-04:00,0.6,0.68,13.19
2023-08-03 06:00:00-04:00,0.6,0.64,7.52
2023-05-03 06:00:00-04:00,0.67,0.72,8.02
2023-02-08 06:00:00-05:00,0.61,0.6,-2.13
2022-11-02 06:00:00-04:00,0.66,0.66,0.01
2022-08-05 06:00:00-04:00,0.62,0.64,2.67
2022-05-05 06:00:00-04:00,0.67,0.73,8.42
2022-02-09 06:00:00-05:00,0.63,0.62,-0.9
2021-11-03 16:00:00-04:00,0.59,0.66,11.14
2021-08-04 16:00:00-04:00,0.6,0.72,19.82
2021-05-05 16:00:00-04:00,0.55,0.66,20.37
2021-02-10 16:00:00-05:00,0.51,0.61,19.61
2020-11-04 16:00:00-05:00,0.42,0.6,41.41
2020-08-05 16:00:00-04:00,0.39,0.52,31.8
2020-05-06 17:00:00-04:00,0.41,0.49,20.85
2020-02-12 16:00:00-05:00,0.47,0.53,11.77
2019-10-30 16:00:00-04:00,0.47,0.48,1.34
2019-07-31 16:00:00-04:00,0.54,0.53,-2.39
2019-05-01 16:00:00-04:00,0.46,0.45,-2.75
2019-02-06 16:00:00-05:00,0.46,0.48,3.67
2018-11-01 16:00:00-04:00,0.46,0.49,7.22
2018-08-01 16:00:00-04:00,0.45,0.5,10.89
2018-05-07 16:00:00-04:00,0.4,0.44,10.23
2018-02-08 16:00:00-05:00,0.37,0.39,6.3
2017-10-26 16:00:00-04:00,0.37,0.39,6.36
2017-08-02 16:00:00-04:00,0.35,0.38,9.17
2017-04-27 16:00:00-04:00,0.3,0.33,10.12
2017-02-08 16:00:00-05:00,0.3,0.31,4.97
2016-11-01 16:00:00-04:00,0.31,0.33,6.45
2016-08-02 16:00:00-04:00,0.3,0.29,-1.93
2016-04-28 16:00:00-04:00,0.28,0.25,-10.71
2016-02-09 16:00:00-05:00,0.24,0.27,11.18
2015-10-29 16:00:00-04:00,0.22,0.3,33.6
2015-08-04 16:00:00-04:00,0.27,0.28,1.88
2015-04-30 16:00:00-04:00,0.3,0.28,-5.08
2015-02-10 16:00:00-05:00,0.29,0.29,1.59
2014-10-30 16:00:00-04:00,0.38,0.33,-13.37
2014-08-05 16:00:00-04:00,0.4,0.45,12.03
2014-05-06 16:00:00-04:00,0.42,0.39,-6.4
2014-02-11 16:00:00-05:00,0.36,0.43,17.93
2013-10-31 16:00:00-04:00,0.36,0.39,7.41
