EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-06 08:00:00-05:00,2.47,,
2025-10-31 07:00:00-04:00,2.54,2.81,10.5
2025-08-01 07:00:00-04:00,2.13,2.24,4.94
2025-05-02 07:00:00-04:00,2.13,2.23,4.68
2025-02-05 07:00:00-05:00,2.24,1.92,-14.29
2024-11-01 07:00:00-04:00,2.35,2.57,9.54
2024-07-26 07:00:00-04:00,2.28,2.26,-0.85
2024-04-26 07:00:00-04:00,2.03,2.38,17.22
2024-02-08 07:00:00-05:00,1.63,1.72,5.8
2023-10-27 07:00:00-04:00,1.77,2.17,22.4
2023-07-28 07:00:00-04:00,1.73,2.02,16.91
2023-05-02 07:00:00-04:00,1.66,1.83,10.51
2023-01-26 09:00:00-05:00,1.71,1.74,1.57
2022-10-27 13:00:00-04:00,1.81,1.86,2.68
2022-07-28 15:00:00-04:00,2.15,1.79,-16.67
2022-04-28 07:00:00-04:00,2.76,2.62,-5.16
2022-01-27 08:00:00-05:00,3.13,3.17,1.34
2021-10-28 07:00:00-04:00,3.31,3.27,-1.2
2021-07-29 07:00:00-04:00,3.21,3.31,3.19
2021-04-29 11:00:00-04:00,2.94,3.01,2.46
2021-01-28 07:00:00-05:00,2.63,2.89,9.93
2020-10-29 07:00:00-04:00,2.43,2.55,5.09
2020-07-29 08:00:00-04:00,2.03,2.29,12.58
2020-04-28 16:00:00-04:00,1.8,1.87,3.62
2020-01-29 08:00:00-05:00,1.95,2.03,4.14
2019-10-24 07:00:00-04:00,1.97,2.13,7.85
2019-07-24 07:00:00-04:00,1.88,2.03,8.21
2019-04-24 07:00:00-04:00,1.63,1.87,15.04
2019-01-30 07:00:00-05:00,1.66,1.54,-7.28
2018-10-25 07:00:00-04:00,1.91,1.99,3.93
2018-07-25 07:00:00-04:00,1.78,1.87,5.07
2018-04-25 07:00:00-04:00,1.68,1.74,3.42
2018-01-30 07:00:00-05:00,1.46,1.52,4.28
2017-10-26 07:00:00-04:00,1.39,1.45,3.97
2017-07-25 07:00:00-04:00,1.29,1.28,-1.07
2017-04-25 07:00:00-04:00,1.18,1.18,-0.22
2017-01-26 07:00:00-05:00,1.42,1.5,5.4
2016-10-27 07:00:00-04:00,1.18,1.28,8.28
2016-07-26 07:00:00-04:00,0.72,0.76,4.86
2016-04-26 07:00:00-04:00,1.03,1.15,11.85
2016-01-28 07:00:00-05:00,1.11,1.17,5.59
2015-10-22 07:00:00-04:00,1.14,1.06,-7.0
2015-07-23 07:00:00-04:00,1.2,1.24,3.34
2015-04-22 07:00:00-04:00,1.14,1.13,-0.55
2015-01-28 07:00:00-05:00,1.14,1.18,3.74
2014-10-23 07:00:00-04:00,1.15,1.12,-2.44
2014-07-24 07:00:00-04:00,1.12,1.13,1.33
2014-04-24 07:00:00-04:00,1.04,1.12,8.06
2014-01-28 07:00:00-05:00,1.03,1.06,2.81
2013-10-24 07:00:00-04:00,0.96,1.0,3.74
