EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-21 08:00:00-05:00,8.6,,
2025-10-16 06:00:00-04:00,6.38,8.14,27.6
2025-07-17 06:00:00-04:00,3.61,6.51,80.1
2025-04-16 06:00:00-04:00,0.77,1.91,147.67
2025-01-22 06:00:00-05:00,6.67,8.96,34.29
2024-10-17 06:00:00-04:00,3.6,5.42,50.41
2024-07-19 06:00:00-04:00,2.0,2.51,25.61
2024-04-17 07:00:00-04:00,4.86,4.69,-3.43
2024-01-19 06:00:00-05:00,5.09,7.01,37.79
2023-10-18 06:00:00-04:00,3.07,1.95,-36.45
2023-07-20 06:00:00-04:00,2.12,0.06,-97.17
2023-04-19 06:00:00-04:00,3.58,4.11,14.71
2023-01-24 07:00:00-05:00,3.4,3.4,
2022-10-19 06:00:00-04:00,1.6,2.2,37.21
2022-07-21 06:00:00-04:00,1.97,2.57,30.19
2022-04-19 06:00:00-04:00,3.62,4.22,16.69
2022-01-20 06:00:00-05:00,3.81,5.2,36.31
2021-10-19 06:00:00-04:00,1.94,2.6,33.99
2021-07-20 06:00:00-04:00,2.38,3.45,44.79
2021-04-20 06:00:00-04:00,2.4,2.73,13.94
2021-01-21 06:00:00-05:00,3.15,4.91,55.81
2020-10-20 06:00:00-04:00,3.04,3.12,2.49
2020-07-23 06:00:00-04:00,-0.2,-0.2,0.73
2020-04-21 07:00:00-04:00,2.86,2.62,-8.28
2020-01-23 06:00:00-05:00,3.27,3.32,1.39
2019-10-22 06:00:00-04:00,2.35,1.43,-39.14
2019-07-23 06:00:00-04:00,2.3,2.02,-12.29
2019-04-18 06:00:00-04:00,2.73,2.83,3.69
2019-01-22 06:00:00-05:00,2.18,2.13,-2.36
2018-10-18 06:00:00-04:00,2.26,2.54,12.58
2018-07-19 06:00:00-04:00,2.39,1.81,-24.42
2018-04-24 06:00:00-04:00,2.68,2.46,-8.26
2018-01-23 06:00:00-05:00,1.41,2.28,61.86
2017-10-19 06:00:00-04:00,0.49,0.91,85.18
2017-07-20 06:00:00-04:00,2.14,1.92,-10.47
2017-04-20 06:00:00-04:00,2.38,2.16,-9.12
2017-01-24 06:00:00-05:00,2.81,3.2,13.93
2016-10-20 06:00:00-04:00,2.36,2.4,1.66
2016-07-21 06:00:00-04:00,2.04,2.2,7.98
2016-04-21 06:00:00-04:00,2.55,2.33,-8.48
2016-01-21 06:00:00-05:00,2.66,2.9,8.92
2015-10-20 06:00:00-04:00,2.25,2.93,30.26
2015-07-21 06:00:00-04:00,2.11,2.52,19.3
2015-04-21 06:00:00-04:00,2.5,2.53,1.04
2015-01-22 06:00:00-05:00,2.53,3.07,21.22
2014-10-21 06:00:00-04:00,2.29,2.61,14.19
2014-07-22 06:00:00-04:00,2.07,1.93,-6.76
2014-04-22 06:00:00-04:00,2.16,2.95,36.68
2014-01-21 06:00:00-05:00,2.16,2.68,23.9
2013-10-22 06:00:00-04:00,2.06,2.35,13.85
