EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-29 08:00:00-05:00,2.82,,
2025-10-30 06:00:00-04:00,3.78,3.88,2.69
2025-07-30 06:00:00-04:00,3.79,3.88,2.29
2025-04-30 06:00:00-04:00,2.2,2.67,21.5
2025-01-30 06:00:00-05:00,2.54,2.61,2.66
2024-10-30 06:00:00-04:00,3.24,3.37,4.01
2024-07-31 06:00:00-04:00,3.08,3.3,7.13
2024-04-30 06:00:00-04:00,1.65,1.94,17.73
2024-02-01 06:00:00-05:00,2.13,2.17,1.73
2023-11-01 06:00:00-04:00,2.66,2.79,4.75
2023-08-02 06:00:00-04:00,2.56,2.68,4.77
2023-05-03 06:00:00-04:00,1.34,1.41,5.45
2023-02-02 06:00:00-05:00,1.64,1.82,10.71
2022-11-02 06:00:00-04:00,2.12,2.27,7.05
2022-08-03 06:00:00-04:00,2.1,2.16,2.96
2022-05-04 06:00:00-04:00,0.99,1.12,13.26
2022-01-31 06:00:00-05:00,1.31,1.36,3.66
2021-11-03 06:00:00-04:00,1.85,1.8,-2.57
2021-08-04 06:00:00-04:00,1.89,1.92,1.79
2021-05-05 06:00:00-04:00,0.62,1.01,62.23
2021-02-05 06:00:00-05:00,0.93,1.03,10.94
2020-10-28 06:00:00-04:00,1.33,1.72,29.07
2020-07-29 06:00:00-04:00,0.76,1.27,67.79
2020-05-05 07:00:00-04:00,0.52,0.43,-16.65
2020-01-29 06:00:00-05:00,1.42,1.4,-1.74
2019-10-29 06:00:00-04:00,1.91,1.99,4.01
2019-07-30 06:00:00-04:00,2.05,2.09,1.73
2019-04-30 06:00:00-04:00,0.8,0.89,11.34
2019-01-30 06:00:00-05:00,1.29,1.32,2.01
2018-10-24 06:00:00-04:00,1.71,1.75,2.25
2018-07-25 06:00:00-04:00,1.72,1.85,7.41
2018-04-25 06:00:00-04:00,0.62,0.7,12.07
2018-01-31 06:00:00-05:00,1.03,1.02,-0.66
2017-10-25 06:00:00-04:00,1.43,1.44,0.92
2017-07-26 06:00:00-04:00,1.46,1.49,2.32
2017-04-26 06:00:00-04:00,0.53,0.57,7.9
2017-02-01 06:00:00-05:00,0.92,0.84,-8.73
2016-10-26 06:00:00-04:00,1.29,1.41,9.61
2016-07-27 06:00:00-04:00,1.3,1.38,6.08
2016-04-26 06:00:00-04:00,0.37,0.5,36.22
2016-02-09 06:00:00-05:00,0.93,0.94,1.52
2015-10-27 06:00:00-04:00,1.16,1.21,4.56
2015-07-28 07:00:00-04:00,1.23,1.2,-2.22
2015-04-23 07:00:00-04:00,0.32,0.38,19.03
2015-01-30 07:00:00-05:00,0.71,0.82,16.02
2014-10-22 07:00:00-04:00,1.04,1.1,5.67
2014-07-22 07:00:00-04:00,1.11,1.13,1.85
2014-04-23 07:00:00-04:00,0.26,0.29,13.22
2014-02-11 07:00:00-05:00,0.61,0.61,0.16
2013-10-18 07:00:00-04:00,1.1,1.16,5.14
