EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-05 16:00:00-05:00,-0.41,,
2025-11-06 16:00:00-05:00,0.93,1.68,80.24
2025-08-07 16:00:00-04:00,0.27,0.65,142.92
2025-05-15 16:00:00-04:00,-0.05,-21.08,-42929.19
2025-02-06 16:00:00-05:00,0.56,0.73,29.71
2024-11-06 16:00:00-05:00,0.41,0.57,38.41
2024-08-08 16:00:00-04:00,0.01,-0.23,-1895.31
2024-05-16 16:00:00-04:00,-0.98,-17.02,-1643.19
2024-02-08 16:00:00-05:00,0.72,0.53,-27.08
2023-11-08 16:00:00-05:00,1.03,1.42,37.58
2023-08-08 16:00:00-04:00,0.37,0.3,-18.75
2023-05-17 16:00:00-04:00,0.67,0.63,-6.26
2023-02-06 16:00:00-05:00,0.88,0.86,-1.44
2022-11-07 16:00:00-05:00,1.38,1.32,-4.91
2022-08-08 16:00:00-04:00,0.87,0.74,-15.44
2022-05-16 16:00:00-04:00,1.03,1.18,14.75
2022-02-07 16:00:00-05:00,1.18,1.32,11.49
2021-11-03 16:00:00-04:00,1.38,1.63,18.58
2021-08-02 16:00:00-04:00,0.9,1.01,13.24
2021-05-18 16:00:00-04:00,0.68,1.43,111.17
2021-02-08 16:00:00-05:00,0.96,1.25,29.59
2020-11-05 16:00:00-05:00,1.21,0.86,-28.93
2020-08-03 16:00:00-04:00,1.6,2.3,43.67
2020-05-20 16:00:00-04:00,1.24,1.07,-14.0
2020-02-06 16:00:00-05:00,1.75,1.7,-2.92
2019-11-07 16:00:00-05:00,1.27,0.63,-50.26
2019-08-05 16:00:00-04:00,0.04,0.27,647.62
2019-05-13 16:00:00-04:00,0.74,0.78,5.76
2019-02-06 07:00:00-05:00,2.8,2.9,3.59
2018-11-07 16:00:00-05:00,0.93,1.05,12.97
2018-08-02 16:00:00-04:00,0.08,0.12,57.36
2018-05-16 16:00:00-04:00,0.63,0.7,11.81
2018-02-07 16:00:00-05:00,0.98,1.13,15.13
2017-11-07 16:00:00-05:00,0.74,1.09,46.97
2017-08-02 16:00:00-04:00,0.56,0.56,-0.88
2017-05-23 07:00:00-04:00,1.32,0.89,-32.58
2017-02-07 16:00:00-05:00,0.94,1.2,27.96
2016-11-02 16:00:00-04:00,0.3,0.45,51.9
2016-08-04 16:00:00-04:00,-0.3,-0.34,-11.74
2016-05-18 16:00:00-04:00,0.25,0.46,82.41
2016-02-03 16:00:00-05:00,0.5,0.89,78.83
2015-11-05 16:00:00-05:00,0.15,0.3,95.17
2015-08-10 16:00:00-04:00,0.35,0.31,-12.13
2015-05-18 16:00:00-04:00,0.28,0.49,74.16
2015-02-03 16:00:00-05:00,1.52,1.87,22.79
2014-10-29 16:00:00-04:00,-0.59,-0.44,26.04
2014-08-05 16:00:00-04:00,-0.26,-0.14,46.64
2014-05-13 16:00:00-04:00,0.06,-0.4,-766.67
2014-02-03 16:00:00-05:00,1.4,1.7,21.08
2013-10-29 16:00:00-04:00,1.74,2.49,42.74
