EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-29 08:00:00-05:00,1.73,,
2025-10-23 06:00:00-04:00,1.46,1.55,6.43
2025-07-24 06:00:00-04:00,1.45,1.55,7.08
2025-04-24 06:00:00-04:00,1.14,1.28,12.56
2025-01-22 06:00:00-05:00,1.25,1.34,6.81
2024-10-24 06:00:00-04:00,1.25,1.18,-5.86
2024-07-18 06:00:00-04:00,1.47,1.54,4.6
2024-04-25 06:00:00-04:00,1.23,1.2,-2.43
2024-01-24 06:00:00-05:00,1.53,1.6,4.49
2023-10-26 07:00:00-04:00,1.28,1.49,16.52
2023-07-27 06:00:00-04:00,1.2,1.46,21.48
2023-04-27 06:00:00-04:00,0.99,1.05,6.17
2023-01-25 06:00:00-05:00,1.07,1.07,0.17
2022-10-27 06:00:00-04:00,0.93,1.06,13.88
2022-07-28 06:00:00-04:00,0.88,1.0,13.02
2022-04-28 06:00:00-04:00,0.74,0.88,19.31
2022-01-27 06:00:00-05:00,0.96,0.94,-1.8
2021-10-28 06:00:00-04:00,0.78,0.85,8.82
2021-07-29 06:00:00-04:00,0.65,0.81,24.75
2021-04-29 06:00:00-04:00,0.47,0.7,49.22
2021-01-27 06:00:00-05:00,0.92,1.06,15.55
2020-10-29 06:00:00-04:00,0.36,0.53,46.43
2020-07-30 06:00:00-04:00,-0.09,0.13,248.38
2020-04-30 06:00:00-04:00,0.47,0.35,-25.81
2020-01-29 06:00:00-05:00,1.08,1.11,2.64
2019-10-17 06:00:00-04:00,0.86,0.95,10.25
2019-07-17 06:00:00-04:00,0.86,0.93,8.49
2019-04-17 06:00:00-04:00,0.68,0.76,11.54
2019-01-24 06:00:00-05:00,0.98,1.15,17.49
2018-10-18 06:00:00-04:00,0.76,0.61,-20.03
2018-07-18 06:00:00-04:00,0.7,0.87,24.81
2018-04-18 06:00:00-04:00,0.48,0.72,48.68
2018-01-31 06:00:00-05:00,0.76,0.74,-2.12
2017-10-19 06:00:00-04:00,0.62,0.65,4.39
2017-07-19 06:00:00-04:00,0.55,0.6,9.68
2017-04-19 06:00:00-04:00,0.46,0.46,-0.27
2017-01-25 06:00:00-05:00,0.87,0.8,-8.1
2016-10-20 06:00:00-04:00,0.65,0.61,-5.8
2016-07-22 06:00:00-04:00,0.64,0.66,3.37
2016-04-20 06:00:00-04:00,0.52,0.55,5.16
2016-01-27 06:00:00-05:00,0.82,0.81,-1.5
2015-10-27 06:00:00-04:00,0.61,0.63,3.73
2015-07-28 06:00:00-04:00,0.59,0.6,2.07
2015-04-28 06:00:00-04:00,0.48,0.46,-3.24
2015-01-28 06:00:00-05:00,0.77,0.76,-1.44
2014-10-17 06:00:00-04:00,0.53,0.57,7.19
2014-07-16 06:00:00-04:00,0.51,0.51,-0.69
2014-05-01 06:00:00-04:00,0.37,0.31,-15.12
2014-01-22 06:00:00-05:00,0.59,0.6,1.68
2013-10-18 06:00:00-04:00,0.47,0.35,-26.06
