EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2025-12-04 16:00:00-05:00,4.53,,
2025-08-28 16:00:00-04:00,5.1,5.78,13.23
2025-05-29 16:00:00-04:00,5.83,6.7,14.9
2025-03-13 16:00:00-04:00,7.15,8.46,18.37
2024-12-05 16:00:00-05:00,4.53,5.14,13.49
2024-08-29 16:00:00-04:00,5.47,5.3,-3.05
2024-05-30 16:00:00-04:00,6.28,6.47,3.04
2024-03-14 16:00:00-04:00,7.54,8.08,7.21
2023-11-30 16:00:00-05:00,4.97,5.07,1.92
2023-08-24 16:00:00-04:00,5.85,6.02,2.9
2023-05-25 16:00:00-04:00,6.83,6.88,0.67
2023-03-09 16:00:00-05:00,5.6,6.68,19.23
2022-12-01 16:00:00-05:00,4.13,5.34,29.29
2022-08-25 16:00:00-04:00,4.97,5.7,14.8
2022-05-26 16:00:00-04:00,4.48,6.3,40.66
2022-03-10 16:00:00-05:00,4.56,5.41,18.52
2021-12-02 16:00:00-05:00,2.47,3.94,59.65
2021-08-25 16:00:00-04:00,2.56,4.56,78.13
2021-05-27 16:00:00-04:00,1.97,4.1,108.54
2021-03-11 16:00:00-05:00,2.38,3.03,27.39
2020-12-03 16:00:00-05:00,1.56,1.32,-15.31
2020-08-27 16:00:00-04:00,0.1,0.14,43.91
2020-05-28 16:00:00-04:00,0.67,-1.13,-267.16
2020-03-12 16:00:00-04:00,3.73,3.89,4.22
2019-12-05 16:00:00-05:00,2.13,2.25,5.71
2019-08-29 16:00:00-04:00,2.8,2.76,-1.42
2019-05-30 16:00:00-04:00,3.07,3.26,6.26
2019-03-14 16:00:00-04:00,3.56,3.61,1.39
2018-12-06 16:00:00-05:00,2.16,2.18,0.84
2018-08-30 16:00:00-04:00,2.4,2.46,2.35
2018-05-31 16:00:00-04:00,2.48,2.7,8.86
2018-03-15 16:00:00-04:00,2.78,2.75,-1.22
2017-11-30 16:00:00-05:00,1.66,1.7,2.19
2017-08-24 16:00:00-04:00,1.78,1.83,2.86
2017-05-25 16:00:00-04:00,1.8,2.05,13.79
2017-03-09 16:00:00-05:00,2.13,2.24,4.93
2016-12-01 16:00:00-05:00,1.37,1.4,1.86
2016-08-25 16:00:00-04:00,1.4,1.43,2.3
2016-05-26 16:00:00-04:00,1.29,1.45,12.09
2016-03-10 16:00:00-05:00,1.54,1.69,9.87
2015-12-03 16:00:00-05:00,1.05,1.11,5.58
2015-08-27 16:00:00-04:00,1.12,1.15,2.36
2015-05-28 16:00:00-04:00,0.93,1.04,11.76
2015-03-12 16:00:00-04:00,1.28,1.33,3.86
2014-12-04 16:00:00-05:00,0.85,0.91,7.22
2014-09-11 16:00:00-04:00,0.83,0.94,13.75
2014-06-10 16:00:00-04:00,0.74,0.77,3.84
2014-03-13 16:00:00-04:00,1.07,1.09,2.27
2013-12-05 16:00:00-05:00,0.74,0.7,-5.62
2013-09-12 16:00:00-04:00,0.67,0.7,5.0
