EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-27 08:00:00-05:00,2.18,,
2025-10-28 06:00:00-04:00,1.3,1.74,33.94
2025-07-29 06:00:00-04:00,1.57,1.55,-1.02
2025-04-29 06:00:00-04:00,1.38,1.49,7.91
2025-01-30 06:00:00-05:00,2.53,2.75,8.6
2024-10-24 06:00:00-04:00,1.62,1.76,8.45
2024-07-23 06:00:00-04:00,1.99,1.79,-10.1
2024-04-23 06:00:00-04:00,1.34,1.43,6.74
2024-01-30 06:00:00-05:00,2.46,2.47,0.41
2023-10-26 06:00:00-04:00,1.56,1.57,0.57
2023-08-08 06:00:00-04:00,2.5,2.54,1.8
2023-04-25 06:00:00-04:00,2.21,2.2,-0.4
2023-01-31 06:00:00-05:00,3.58,3.62,1.04
2022-10-25 06:00:00-04:00,2.85,2.99,4.88
2022-07-26 06:00:00-04:00,3.16,3.29,4.13
2022-04-26 06:00:00-04:00,2.88,3.05,5.82
2022-02-01 06:00:00-05:00,3.1,3.59,15.64
2021-10-26 06:00:00-04:00,2.55,2.71,6.43
2021-07-27 06:00:00-04:00,2.81,3.06,8.79
2021-04-27 06:00:00-04:00,1.72,2.77,61.06
2021-02-02 06:00:00-05:00,2.15,2.66,23.9
2020-10-28 06:00:00-04:00,1.9,2.28,20.02
2020-07-30 06:00:00-04:00,1.08,2.13,97.6
2020-04-28 08:00:00-04:00,1.23,1.15,-6.5
2020-01-30 07:00:00-05:00,2.11,2.11,0.09
2019-10-22 07:00:00-04:00,2.06,2.07,0.6
2019-07-24 07:00:00-04:00,1.93,1.96,1.56
2019-04-25 07:00:00-04:00,1.43,1.39,-2.72
2019-01-31 07:00:00-05:00,1.91,1.94,1.77
2018-10-24 07:00:00-04:00,1.82,1.82,0.13
2018-07-25 07:00:00-04:00,1.93,1.94,0.65
2018-04-26 07:00:00-04:00,1.54,1.55,0.41
2018-02-01 07:00:00-05:00,1.66,1.67,0.42
2017-10-26 07:00:00-04:00,1.45,1.45,0.14
2017-07-27 07:00:00-04:00,1.47,1.58,7.82
2017-04-27 07:00:00-04:00,1.29,1.32,2.48
2017-01-31 07:00:00-05:00,1.69,1.63,-3.55
2016-10-27 07:00:00-04:00,1.44,1.44,0.04
2016-07-29 07:00:00-04:00,1.43,1.43,0.24
2016-04-28 07:00:00-04:00,1.21,1.27,4.59
2016-02-02 07:00:00-05:00,1.42,1.57,10.7
2015-10-27 07:00:00-04:00,1.37,1.39,1.61
2015-07-28 07:00:00-04:00,1.27,1.35,6.68
2015-04-28 07:00:00-04:00,1.09,1.12,2.67
2015-02-03 07:00:00-05:00,1.25,1.25,
2014-10-24 07:00:00-04:00,1.28,1.32,2.89
2014-07-29 07:00:00-04:00,1.25,1.21,-3.11
2014-04-24 07:00:00-04:00,1.08,0.98,-9.29
2014-01-30 07:00:00-05:00,1.25,1.25,0.06
2013-10-25 07:00:00-04:00,1.15,1.16,0.78
