EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-20 08:00:00-05:00,1.17,,
2025-10-16 06:00:00-04:00,1.12,1.22,9.02
2025-07-17 06:00:00-04:00,1.07,1.11,4.06
2025-04-16 06:00:00-04:00,0.97,1.03,5.69
2025-01-15 19:00:00-05:00,1.05,1.07,1.71
2024-10-16 06:00:00-04:00,0.99,1.03,4.05
2024-07-17 06:00:00-04:00,0.95,0.97,2.33
2024-05-01 16:00:00-04:00,0.88,0.78,-11.61
2024-01-17 06:00:00-05:00,0.91,0.49,-46.0
2023-10-18 06:00:00-04:00,1.01,0.91,-9.68
2023-07-19 07:00:00-04:00,1.1,0.84,-23.51
2023-04-19 06:00:00-04:00,1.12,1.04,-7.17
2023-01-25 06:00:00-05:00,1.14,0.57,-49.82
2022-10-14 06:00:00-04:00,1.16,1.16,0.42
2022-07-15 06:00:00-04:00,1.07,0.99,-7.53
2022-04-14 06:00:00-04:00,0.94,0.99,5.12
2022-01-19 06:00:00-05:00,1.1,1.07,-2.46
2021-10-14 06:00:00-04:00,1.16,1.3,12.41
2021-07-15 06:00:00-04:00,1.13,1.28,12.89
2021-04-15 06:00:00-04:00,0.96,1.45,51.43
2021-01-20 06:00:00-05:00,0.94,0.95,1.52
2020-10-14 06:00:00-04:00,0.91,0.99,9.15
2020-07-15 06:00:00-04:00,0.4,0.41,1.64
2020-04-15 07:00:00-04:00,0.81,0.72,-10.76
2020-01-15 06:00:00-05:00,1.09,1.08,-0.55
2019-10-16 06:00:00-04:00,1.11,1.15,3.62
2019-07-17 06:00:00-04:00,1.07,1.09,2.26
2019-04-17 06:00:00-04:00,1.0,1.0,-0.19
2019-01-16 06:00:00-05:00,1.06,1.07,1.14
2018-10-17 06:00:00-04:00,1.04,1.06,1.56
2018-07-18 06:00:00-04:00,1.0,1.02,1.67
2018-04-18 06:00:00-04:00,0.95,0.96,1.54
2018-01-17 06:00:00-05:00,0.87,0.88,0.95
2017-10-18 06:00:00-04:00,0.88,0.88,-0.22
2017-07-19 06:00:00-04:00,0.84,0.85,0.65
2017-04-19 06:00:00-04:00,0.8,0.82,2.43
2017-01-18 06:00:00-05:00,0.81,0.82,1.4
2016-10-19 06:00:00-04:00,0.83,0.84,0.76
2016-07-15 06:00:00-04:00,0.8,0.82,2.31
2016-04-20 06:00:00-04:00,0.76,0.76,-0.38
2016-01-15 06:00:00-05:00,0.79,0.79,0.04
2015-10-15 06:00:00-04:00,0.81,0.81,0.24
2015-07-15 07:00:00-04:00,0.8,0.8,-0.39
2015-04-15 07:00:00-04:00,0.76,0.76,0.08
2015-01-21 07:00:00-05:00,0.77,0.78,1.16
2014-10-22 07:00:00-04:00,0.78,0.78,-0.15
2014-07-16 07:00:00-04:00,0.77,0.78,1.84
2014-04-16 07:00:00-04:00,0.73,0.73,-0.09
2014-01-22 07:00:00-05:00,0.75,0.76,1.14
2013-10-16 07:00:00-04:00,0.75,0.76,0.72
