EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-27 16:00:00-05:00,3.14,,
2025-10-28 16:00:00-04:00,2.97,2.98,0.28
2025-07-29 16:00:00-04:00,2.85,2.98,4.68
2025-04-29 16:00:00-04:00,2.68,2.76,3.0
2025-01-30 16:00:00-05:00,2.66,2.75,3.34
2024-10-29 16:00:00-04:00,2.58,2.71,5.24
2024-07-23 16:00:00-04:00,2.42,2.42,0.11
2024-04-23 16:00:00-04:00,2.43,2.51,3.16
2024-01-25 16:00:00-05:00,2.34,2.41,3.05
2023-10-24 16:00:00-04:00,2.24,2.33,3.83
2023-07-25 16:00:00-04:00,2.12,2.16,2.03
2023-04-25 16:00:00-04:00,1.99,2.09,5.18
2023-01-26 16:00:00-05:00,2.01,2.18,8.46
2022-10-25 16:00:00-04:00,1.87,1.93,3.47
2022-07-26 16:00:00-04:00,1.75,1.98,13.29
2022-04-26 16:00:00-04:00,1.65,1.79,8.37
2022-01-27 16:00:00-05:00,1.7,1.81,6.34
2021-10-26 16:00:00-04:00,1.54,1.62,5.35
2021-07-27 16:00:00-04:00,1.35,1.49,10.5
2021-04-27 16:00:00-04:00,1.27,1.38,8.64
2021-01-28 16:00:00-05:00,1.28,1.42,11.27
2020-10-28 16:00:00-04:00,1.1,1.12,1.94
2020-07-28 16:00:00-04:00,1.04,1.06,2.31
2020-04-30 16:00:00-04:00,1.35,1.39,2.8
2020-01-30 16:00:00-05:00,1.47,1.46,-0.36
2019-10-24 16:00:00-04:00,1.43,1.47,2.79
2019-07-23 16:00:00-04:00,1.32,1.37,3.48
2019-04-24 16:00:00-04:00,1.24,1.31,5.74
2019-01-30 16:00:00-05:00,1.25,1.3,3.95
2018-10-24 16:00:00-04:00,1.2,1.21,0.95
2018-07-25 16:00:00-04:00,1.09,1.2,9.85
2018-04-25 16:00:00-04:00,1.01,1.11,9.36
2018-02-01 16:00:00-05:00,0.98,1.08,10.13
2017-10-25 06:00:00-04:00,0.85,0.9,6.02
2017-07-20 16:00:00-04:00,0.81,0.86,6.4
2017-04-20 16:00:00-04:00,0.79,0.86,8.76
2017-02-02 16:00:00-05:00,0.78,0.86,9.98
2016-10-24 16:00:00-04:00,0.73,0.78,7.11
2016-07-21 16:00:00-04:00,0.67,0.69,2.99
2016-04-21 16:00:00-04:00,0.66,0.68,2.6
2016-01-28 16:00:00-05:00,0.68,0.69,1.43
2015-11-02 06:00:00-05:00,0.63,0.62,-1.23
2015-07-23 16:00:00-04:00,0.58,0.62,6.75
2015-04-30 16:00:00-04:00,0.62,0.63,1.1
2015-01-29 16:00:00-05:00,0.62,0.63,1.59
2014-10-29 16:00:00-04:00,0.53,0.55,3.8
2014-07-24 16:00:00-04:00,0.52,0.54,3.62
2014-04-24 16:00:00-04:00,0.55,0.54,-0.24
2014-01-30 07:00:00-05:00,0.54,0.55,1.8
2013-10-30 16:00:00-04:00,0.46,0.46,-0.31
