EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-19 16:00:00-05:00,0.7,,
2025-10-30 16:00:00-04:00,0.69,0.71,3.37
2025-07-30 16:00:00-04:00,0.7,0.83,17.89
2025-04-30 16:00:00-04:00,0.69,0.51,-24.88
2025-02-20 16:00:00-05:00,0.68,0.67,-0.16
2024-10-31 16:00:00-04:00,0.67,0.67,0.77
2024-07-31 16:00:00-04:00,0.67,0.71,6.92
2024-05-01 16:00:00-04:00,0.66,0.57,-14.27
2024-02-22 16:00:00-05:00,0.65,0.73,12.4
2023-10-25 16:00:00-04:00,0.64,0.64,0.54
2023-07-26 16:00:00-04:00,0.57,0.69,19.3
2023-05-01 16:00:00-04:00,0.64,0.52,-18.47
2023-02-23 16:00:00-05:00,0.57,0.63,9.9
2022-10-27 16:00:00-04:00,0.58,0.58,1.32
2022-07-27 16:00:00-04:00,0.48,-0.05,-109.47
2022-05-04 16:00:00-04:00,0.45,0.35,-22.1
2022-02-23 16:00:00-05:00,0.46,0.44,-3.06
2021-10-27 16:00:00-04:00,0.45,0.31,-30.98
2021-07-28 16:00:00-04:00,0.48,0.54,12.7
2021-04-29 16:00:00-04:00,0.48,0.51,6.5
2021-02-18 16:00:00-05:00,0.48,1.2,150.08
2020-10-28 16:00:00-04:00,0.39,0.12,-68.25
2020-07-29 16:00:00-04:00,0.35,0.47,33.14
2020-04-30 16:00:00-04:00,0.36,0.04,-88.32
2020-02-20 16:00:00-05:00,0.34,0.33,-1.54
2019-10-31 16:00:00-04:00,0.33,0.31,-5.39
2019-07-31 16:00:00-04:00,0.36,0.38,3.22
2019-05-01 16:00:00-04:00,0.37,0.37,0.97
2019-02-14 16:00:00-05:00,0.39,0.37,-5.13
2018-11-01 16:00:00-04:00,0.4,0.38,-5.0
2018-08-02 16:00:00-04:00,0.37,0.38,2.01
2018-05-03 16:00:00-04:00,0.35,0.39,12.51
2018-03-08 16:00:00-05:00,0.35,0.36,1.69
