EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-11 16:00:00-05:00,0.09,,
2025-10-29 16:00:00-04:00,0.05,0.12,141.94
2025-07-30 16:00:00-04:00,0.14,0.15,10.44
2025-04-30 16:00:00-04:00,0.07,0.1,35.81
2025-02-12 16:00:00-05:00,0.05,0.13,156.61
2024-10-30 16:00:00-04:00,-0.02,0.05,360.28
2024-08-01 16:00:00-04:00,0.01,0.02,92.0
2024-05-01 16:00:00-04:00,-0.38,-0.03,93.08
2024-02-14 16:00:00-05:00,-0.17,-0.3,-75.29
2023-11-02 16:00:00-04:00,-0.01,-0.18,-2421.01
2023-08-03 16:00:00-04:00,0.03,0.28,845.97
2023-05-08 16:00:00-04:00,-0.09,0.1,208.2
2023-02-09 16:00:00-05:00,-0.03,-0.09,-242.59
2022-11-03 16:00:00-04:00,-0.04,0.02,140.13
2022-08-04 16:00:00-04:00,,-0.11,
2022-05-05 17:00:00-04:00,-0.06,0.13,322.58
2022-02-17 16:00:00-05:00,-0.09,-0.01,90.0
2021-11-05 06:00:00-04:00,0.08,-0.1,-220.5
2021-08-06 06:00:00-04:00,-0.07,0.12,281.49
2021-05-07 06:00:00-04:00,0.03,-0.07,-328.31
2021-02-18 06:00:00-05:00,0.06,0.25,321.0
2020-11-06 07:00:00-05:00,-0.23,0.05,121.78
2020-08-07 06:00:00-04:00,0.14,-0.32,-317.89
2020-05-08 08:00:00-04:00,0.21,0.66,220.29
2020-02-20 07:00:00-05:00,0.28,0.03,-90.29
2019-10-25 07:00:00-04:00,0.33,0.23,-31.42
2019-07-26 06:00:00-04:00,0.32,0.52,63.59
2019-04-26 06:00:00-04:00,0.31,0.33,6.78
2019-02-08 07:00:00-05:00,0.36,0.14,-60.31
2018-10-26 07:00:00-04:00,0.32,0.28,-10.41
2018-07-27 07:00:00-04:00,0.36,0.36,0.55
2018-04-27 06:00:00-04:00,0.42,0.22,-47.81
2018-02-09 07:00:00-05:00,0.43,0.39,-8.68
2017-10-27 06:00:00-04:00,0.45,0.44,-3.08
2017-07-28 07:00:00-04:00,0.46,0.42,-8.96
2017-04-28 07:00:00-04:00,0.55,0.44,-19.29
2017-02-10 07:00:00-05:00,0.42,0.58,39.57
2016-10-28 07:00:00-04:00,0.41,0.42,1.51
2016-07-29 06:00:00-04:00,0.43,0.42,-1.69
2016-04-29 06:00:00-04:00,0.34,0.44,29.47
2016-02-12 06:00:00-05:00,0.49,0.37,-24.12
2015-10-23 07:00:00-04:00,0.37,0.07,-81.26
2015-07-24 07:00:00-04:00,0.37,0.45,22.04
2015-04-24 07:00:00-04:00,0.37,0.37,-0.58
2015-02-13 07:00:00-05:00,0.41,0.36,-12.14
2014-10-24 07:00:00-04:00,0.44,0.37,-16.71
2014-08-11 16:00:00-04:00,0.45,0.47,4.44
2014-04-25 07:00:00-04:00,0.44,0.41,-6.53
2014-02-14 07:00:00-05:00,0.54,0.39,-28.61
2013-10-25 07:00:00-04:00,0.36,0.45,25.56
