EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-11 08:00:00-05:00,2.08,,
2025-10-22 06:00:00-04:00,2.28,2.32,1.96
2025-07-24 06:00:00-04:00,2.18,2.27,4.08
2025-04-23 06:00:00-04:00,2.03,2.28,12.53
2025-02-12 06:00:00-05:00,1.73,1.68,-3.03
2024-10-23 06:00:00-04:00,1.88,2.0,6.19
2024-07-24 07:00:00-04:00,1.66,1.64,-1.2
2024-04-24 06:00:00-04:00,1.48,1.89,27.38
2024-02-14 07:00:00-05:00,1.58,1.54,-2.48
2023-10-25 06:00:00-04:00,1.46,1.7,16.28
2023-07-27 07:00:00-04:00,1.33,1.41,5.67
2023-04-26 06:00:00-04:00,1.2,1.28,7.06
2023-02-15 06:00:00-05:00,1.28,1.3,1.38
2022-11-01 07:00:00-04:00,1.21,1.22,0.96
2022-08-05 06:00:00-04:00,1.22,1.23,1.06
2022-04-27 07:00:00-04:00,1.12,1.13,0.96
2022-02-16 06:00:00-05:00,1.17,1.18,1.09
2021-10-27 06:00:00-04:00,1.12,1.14,1.45
2021-07-29 06:00:00-04:00,0.96,1.06,10.49
2021-04-29 06:00:00-04:00,0.86,0.89,3.63
2021-02-18 06:00:00-05:00,1.03,0.98,-5.02
2020-10-29 06:00:00-04:00,0.9,0.95,5.17
2020-07-28 06:00:00-04:00,0.76,0.87,13.81
2020-05-04 07:00:00-04:00,0.95,0.97,1.78
2020-02-18 06:00:00-05:00,1.06,1.04,-2.2
2019-10-31 06:00:00-04:00,1.01,1.03,1.73
2019-07-30 06:00:00-04:00,0.97,1.06,9.13
2019-04-25 07:00:00-04:00,0.84,1.06,25.74
2019-02-25 07:00:00-05:00,1.02,0.97,-4.67
2018-10-30 07:00:00-04:00,0.95,0.95,-0.29
2018-07-24 08:00:00-04:00,0.93,0.96,2.77
2018-04-24 08:00:00-04:00,0.9,0.92,3.19
2018-02-20 08:00:00-05:00,0.9,0.9,-0.33
2017-10-24 08:00:00-04:00,0.84,0.88,4.71
2017-07-25 07:00:00-04:00,0.94,0.8,-14.83
2017-04-25 07:00:00-04:00,0.82,0.84,2.83
2017-02-21 07:00:00-05:00,0.94,0.81,-13.54
2016-10-25 08:00:00-04:00,0.99,0.94,-5.15
2016-07-25 06:00:00-04:00,1.08,1.05,-2.36
2016-04-26 07:00:00-04:00,1.0,1.05,5.29
2016-02-18 07:00:00-05:00,1.05,1.05,-0.38
2015-10-22 07:00:00-04:00,1.04,1.04,-0.21
2015-07-23 08:00:00-04:00,1.01,1.04,2.94
2015-04-22 08:00:00-04:00,0.95,0.99,4.33
2015-02-18 07:00:00-05:00,0.94,0.95,0.98
2014-10-28 07:00:00-04:00,0.88,0.93,5.14
2014-07-24 07:00:00-04:00,0.87,0.91,4.44
2014-04-23 07:00:00-04:00,0.8,0.83,3.66
2014-02-19 08:00:00-05:00,0.79,0.79,-0.5
2013-10-24 08:00:00-04:00,0.76,0.76,0.38
