EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-26 08:00:00-05:00,-0.01,,
2025-11-06 07:00:00-05:00,-0.05,-0.06,-16.41
2025-08-07 07:00:00-04:00,-0.23,0.63,376.26
2025-05-08 07:00:00-04:00,-0.13,-0.18,-38.95
2025-02-27 07:00:00-05:00,0.16,0.1,-35.35
2024-11-07 07:00:00-05:00,0.16,0.13,-17.2
2024-08-07 16:00:00-04:00,,-0.18,-4885.33
2024-05-09 07:00:00-04:00,-0.17,-0.24,-44.01
2024-02-23 07:00:00-05:00,-0.01,-0.13,-1134.08
2023-11-08 07:00:00-05:00,0.18,-0.07,-139.04
2023-08-03 07:00:00-04:00,-0.07,-0.44,-513.55
2023-05-05 07:00:00-04:00,-0.04,-0.38,-748.61
2023-02-22 19:00:00-05:00,-0.45,-0.86,-90.51
2022-11-03 16:00:00-04:00,-0.12,-0.22,-84.2
2022-08-05 06:00:00-04:00,0.01,-0.57,-3976.8
2022-04-26 15:00:00-04:00,0.17,0.69,317.52
2022-02-24 07:00:00-05:00,0.53,0.08,-84.84
2021-11-03 07:00:00-04:00,0.41,0.27,-34.95
2021-08-03 14:00:00-04:00,0.83,0.97,16.26
2021-04-28 07:00:00-04:00,0.64,0.28,-56.43
2021-02-22 07:00:00-05:00,0.72,0.76,5.95
2020-11-05 07:00:00-05:00,0.36,0.44,20.79
2020-08-05 07:00:00-04:00,0.72,0.77,6.53
2020-05-06 08:00:00-04:00,0.84,0.87,3.55
2020-02-27 07:00:00-05:00,0.92,0.98,6.66
2019-11-07 07:00:00-05:00,0.82,0.87,5.77
2019-08-06 07:00:00-04:00,0.98,0.98,-0.48
2019-05-02 07:00:00-04:00,0.78,0.87,11.97
2019-02-26 07:00:00-05:00,0.81,0.74,-8.1
2018-11-08 07:00:00-05:00,0.61,0.52,-15.0
2018-08-07 07:00:00-04:00,0.86,0.66,-23.41
2018-05-08 07:00:00-04:00,0.28,-0.01,-103.62
2018-02-27 07:00:00-05:00,0.43,0.47,9.1
2017-11-02 07:00:00-04:00,0.54,0.68,25.1
2017-07-31 06:00:00-04:00,0.72,0.68,-6.09
2017-05-09 07:00:00-04:00,0.5,0.47,-6.86
2017-02-14 07:00:00-05:00,0.51,0.56,10.46
2016-11-01 07:00:00-04:00,0.44,0.4,-9.79
2016-08-02 07:00:00-04:00,0.57,0.71,23.7
2016-05-05 07:00:00-04:00,0.4,0.42,5.27
2016-02-18 07:00:00-05:00,0.45,0.38,-15.81
2015-11-03 07:00:00-05:00,0.42,0.47,11.1
2015-08-05 07:00:00-04:00,0.47,0.43,-8.29
2015-05-05 07:00:00-04:00,0.35,0.37,7.17
2015-02-19 07:00:00-05:00,0.42,0.38,-8.7
2014-11-04 07:00:00-05:00,0.41,0.41,-0.38
2014-07-31 07:00:00-04:00,0.48,0.55,14.66
2014-05-06 07:00:00-04:00,0.34,0.33,-4.23
2014-02-13 07:00:00-05:00,0.45,0.41,-9.86
2013-10-31 07:00:00-04:00,0.36,0.36,-1.48
