EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-28 16:00:00-05:00,1.94,,
2025-10-27 16:00:00-04:00,2.01,1.98,-1.62
2025-07-28 16:00:00-04:00,1.89,1.92,1.79
2025-04-28 17:00:00-04:00,1.59,1.67,5.31
2025-01-29 19:00:00-05:00,1.8,1.7,-5.66
2024-10-28 17:00:00-04:00,1.88,1.96,3.98
2024-07-24 16:00:00-04:00,1.83,1.82,-0.56
2024-04-24 17:00:00-04:00,1.5,1.75,16.58
2024-02-12 18:00:00-05:00,1.53,1.74,13.69
2023-10-24 17:00:00-04:00,1.61,1.63,0.94
2023-07-25 17:00:00-04:00,1.55,1.51,-2.36
2023-04-26 18:00:00-04:00,1.29,1.31,1.88
2023-01-31 19:00:00-05:00,1.42,1.3,-8.63
2022-10-26 07:00:00-04:00,1.52,1.56,2.65
2022-07-27 07:00:00-04:00,1.39,1.44,3.25
2022-04-26 07:00:00-04:00,1.14,1.29,13.09
2022-02-02 07:00:00-05:00,1.26,1.26,-0.38
2021-10-26 07:00:00-04:00,1.36,1.26,-7.49
2021-07-27 07:00:00-04:00,1.19,1.27,7.08
2021-04-27 07:00:00-04:00,1.01,1.06,4.82
2021-02-18 07:00:00-05:00,1.09,1.13,3.69
2020-11-02 07:00:00-05:00,1.02,1.09,6.98
2020-07-30 07:00:00-04:00,0.81,0.88,9.32
2020-05-06 08:00:00-04:00,0.93,0.93,0.16
2020-02-13 07:00:00-05:00,1.15,1.19,3.24
2019-10-23 07:00:00-04:00,1.15,1.19,3.87
2019-07-25 07:00:00-04:00,1.09,1.11,1.82
2019-04-25 07:00:00-04:00,0.93,0.94,1.35
2019-02-14 07:00:00-05:00,1.06,1.13,6.21
2018-10-25 07:00:00-04:00,1.11,1.15,3.81
2018-07-25 07:00:00-04:00,0.99,1.01,1.76
2018-04-20 07:00:00-04:00,0.83,0.91,9.38
2018-02-15 07:00:00-05:00,0.83,0.85,2.1
2017-10-26 07:00:00-04:00,0.88,0.9,2.63
2017-07-26 07:00:00-04:00,0.81,0.81,-0.47
2017-04-26 07:00:00-04:00,0.66,0.66,0.56
2017-02-16 07:00:00-05:00,0.77,0.75,-2.43
2016-10-26 07:00:00-04:00,0.8,0.84,4.77
2016-07-27 07:00:00-04:00,0.71,0.74,3.82
2016-04-28 07:00:00-04:00,0.55,0.58,5.55
2016-02-18 07:00:00-05:00,0.68,0.71,4.8
2015-10-27 07:00:00-04:00,0.71,0.75,4.62
2015-07-23 07:00:00-04:00,0.63,0.67,6.85
2015-04-29 07:00:00-04:00,0.49,0.49,-0.34
2015-02-17 07:00:00-05:00,0.59,0.67,12.61
2014-10-29 07:00:00-04:00,0.68,0.72,6.32
2014-07-29 07:00:00-04:00,0.59,0.6,1.45
2014-04-24 07:00:00-04:00,0.44,0.49,11.1
2014-02-18 07:00:00-05:00,0.6,0.56,-7.33
2013-10-29 07:00:00-04:00,0.62,0.65,4.46
