EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-03-18 09:00:00-04:00,2.91,,
2025-11-19 09:00:00-05:00,1.87,1.96,4.7
2025-08-27 09:00:00-04:00,1.79,2.0,11.59
2025-05-22 09:00:00-04:00,1.76,1.85,4.89
2025-03-19 09:00:00-04:00,2.91,3.28,12.78
2024-11-20 08:00:00-05:00,1.76,1.96,11.14
2024-08-22 08:00:00-04:00,1.61,1.74,7.99
2024-05-22 08:00:00-04:00,1.35,2.04,50.7
2024-03-13 09:00:00-04:00,2.58,2.72,5.48
2023-11-16 09:00:00-05:00,1.67,1.83,9.59
2023-08-23 09:00:00-04:00,1.33,1.56,17.34
2023-05-23 09:00:00-04:00,1.19,1.18,-1.66
2023-03-16 09:00:00-04:00,2.73,2.75,0.64
2022-11-17 16:00:00-05:00,1.87,1.86,-0.58
2022-08-24 16:00:00-04:00,1.75,1.94,10.55
2022-05-25 16:00:00-04:00,1.47,1.75,19.1
2022-03-16 16:00:00-04:00,2.41,2.71,12.38
2021-11-18 16:00:00-05:00,1.55,1.66,6.83
2021-08-25 16:00:00-04:00,1.29,1.62,25.44
2021-05-26 16:00:00-04:00,0.96,1.45,51.68
2021-03-17 16:00:00-04:00,1.65,1.98,19.85
2020-11-19 16:00:00-05:00,0.77,1.27,65.51
2020-08-26 16:00:00-04:00,0.51,0.9,76.47
2020-05-28 16:00:00-04:00,0.03,0.37,982.19
2020-03-18 16:00:00-04:00,1.02,1.05,2.72
2019-11-21 16:00:00-05:00,0.5,0.47,-5.92
2019-08-28 16:00:00-04:00,0.42,0.44,4.43
2019-05-30 16:00:00-04:00,0.34,0.41,17.81
2019-03-20 16:00:00-04:00,0.98,1.05,6.85
2018-11-15 16:00:00-05:00,0.46,0.5,7.93
2018-08-22 16:00:00-04:00,0.34,0.39,12.75
2018-05-23 16:00:00-04:00,0.29,0.34,16.35
2018-03-14 16:00:00-04:00,0.81,0.84,4.25
2017-11-16 16:00:00-05:00,0.42,0.42,0.31
2017-08-23 16:00:00-04:00,0.29,0.31,3.45
2017-05-24 16:00:00-04:00,0.24,0.26,4.91
2017-03-15 16:00:00-04:00,0.75,0.82,7.98
2016-11-17 16:00:00-05:00,0.38,0.39,1.39
2016-08-24 16:00:00-04:00,0.29,0.29,-0.02
2016-05-25 16:00:00-04:00,0.25,0.22,-11.37
2016-03-16 16:00:00-04:00,0.79,0.78,-2.21
2015-11-19 16:00:00-05:00,0.36,0.39,6.5
2015-08-26 16:00:00-04:00,0.29,0.29,0.39
2015-05-20 16:00:00-04:00,0.22,0.24,8.16
2015-03-18 16:00:00-04:00,0.76,0.76,0.06
2014-11-19 16:00:00-05:00,0.31,0.34,8.08
2014-08-27 16:00:00-04:00,0.27,0.27,-0.76
2014-05-21 16:00:00-04:00,0.22,0.24,9.52
2014-03-12 16:00:00-04:00,0.68,0.69,2.05
2013-11-20 16:00:00-05:00,0.27,0.29,6.23
