EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-12 08:00:00-05:00,1.83,,
2025-10-23 06:00:00-04:00,1.67,1.92,15.14
2025-07-24 06:00:00-04:00,1.54,1.84,19.71
2025-04-24 06:00:00-04:00,1.26,1.45,15.28
2025-02-13 06:00:00-05:00,1.73,1.82,5.32
2024-10-24 06:00:00-04:00,1.49,1.85,23.75
2024-07-25 06:00:00-04:00,1.73,1.52,-12.08
2024-04-25 06:00:00-04:00,1.29,1.56,21.17
2024-02-15 06:00:00-05:00,1.78,1.83,2.71
2023-10-26 06:00:00-04:00,1.86,2.16,16.2
2023-07-27 06:00:00-04:00,1.93,2.11,9.54
2023-04-27 06:00:00-04:00,1.67,1.98,18.84
2023-02-16 06:00:00-05:00,1.38,1.77,28.62
2022-10-27 06:00:00-04:00,2.12,2.03,-4.25
2022-07-28 06:00:00-04:00,2.21,2.47,11.93
2022-04-28 06:00:00-04:00,2.12,2.3,8.49
2022-02-17 06:00:00-05:00,1.92,2.04,6.53
2021-10-28 06:00:00-04:00,1.8,2.06,14.63
2021-07-29 06:00:00-04:00,1.74,2.46,41.38
2021-04-29 06:00:00-04:00,1.43,2.05,43.64
2021-02-18 06:00:00-05:00,1.13,1.34,19.11
2020-10-22 06:00:00-04:00,0.99,1.15,15.69
2020-07-23 06:00:00-04:00,0.92,1.25,35.38
2020-04-23 06:00:00-04:00,0.82,1.01,22.87
2020-02-13 06:00:00-05:00,0.72,0.82,13.57
2019-10-24 06:00:00-04:00,0.71,0.79,11.58
2019-07-25 06:00:00-04:00,0.72,0.89,23.27
2019-04-25 06:00:00-04:00,0.66,0.74,12.69
2019-02-14 06:00:00-05:00,0.72,0.73,1.39
2018-10-25 06:00:00-04:00,0.7,0.76,8.57
2018-07-26 06:00:00-04:00,0.67,0.7,4.03
2018-04-26 06:00:00-04:00,0.64,0.62,-2.69
2018-02-15 06:00:00-05:00,0.63,0.64,1.59
2017-10-26 07:00:00-04:00,0.53,0.67,26.76
2017-07-27 06:00:00-04:00,0.65,0.66,2.17
2017-04-27 07:00:00-04:00,0.56,0.6,8.11
2017-02-16 07:00:00-05:00,0.56,0.54,-2.7
2016-10-27 07:00:00-04:00,0.53,0.53,0.95
2016-07-28 07:00:00-04:00,0.56,0.59,4.61
2016-04-28 07:00:00-04:00,0.51,0.53,4.95
2016-02-18 07:00:00-05:00,0.47,0.47,
2015-10-29 07:00:00-04:00,0.43,0.44,2.92
2015-07-30 07:00:00-04:00,0.45,0.47,5.03
2015-04-30 07:00:00-04:00,0.4,0.45,13.44
2015-02-19 07:00:00-05:00,0.46,0.45,-2.7
2014-10-30 07:00:00-04:00,0.44,0.44,
2014-07-31 07:00:00-04:00,0.47,0.52,10.17
2014-05-01 07:00:00-04:00,0.41,0.38,-7.32
2014-02-20 07:00:00-05:00,0.37,0.38,1.6
2013-10-31 07:00:00-04:00,0.36,0.39,8.33
