EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-29 16:00:00-05:00,-0.12,,
2025-10-30 16:00:00-04:00,-0.08,0.06,177.36
2025-07-24 16:00:00-04:00,0.09,0.12,31.84
2025-04-24 16:00:00-04:00,0.1,0.11,13.6
2025-01-30 16:00:00-05:00,0.07,0.11,59.84
2024-10-24 16:00:00-04:00,,0.05,1198.7
2024-07-25 16:00:00-04:00,0.21,0.21,2.02
2024-04-25 16:00:00-04:00,0.15,0.16,7.13
2024-01-25 16:00:00-05:00,0.14,0.16,17.57
2023-10-26 16:00:00-04:00,0.34,0.33,-1.61
2023-07-27 16:00:00-04:00,0.21,0.32,52.61
2023-04-27 16:00:00-04:00,0.12,0.21,71.05
2023-01-26 16:00:00-05:00,0.18,0.24,36.0
2022-10-27 16:00:00-04:00,0.37,0.42,12.47
2022-07-29 03:00:00-04:00,0.98,1.06,7.93
2022-04-29 03:00:00-04:00,1.23,1.31,6.54
2022-01-28 03:00:00-05:00,0.48,0.49,1.22
2021-10-29 03:00:00-04:00,0.56,0.6,7.54
2021-07-30 03:00:00-04:00,1.39,1.37,-1.75
2021-04-30 03:00:00-04:00,0.92,0.91,-1.42
2021-01-29 03:00:00-05:00,0.48,0.48,-0.88
2020-10-30 03:00:00-04:00,0.46,0.52,13.65
2020-07-31 00:00:00-04:00,0.01,0.11,845.02
2020-05-01 04:00:00-04:00,0.13,0.18,42.1
2020-01-31 03:00:00-05:00,0.05,0.03,-42.82
2019-10-25 03:00:00-04:00,0.1,0.08,-23.72
2019-07-26 03:00:00-04:00,0.1,0.16,67.7
2019-04-26 03:00:00-04:00,0.09,0.11,17.58
2019-02-01 03:00:00-05:00,0.12,0.1,-18.29
2018-10-26 03:00:00-04:00,0.37,0.28,-24.98
2018-07-27 03:00:00-04:00,0.43,0.44,2.42
2018-04-27 03:00:00-04:00,0.34,0.36,5.43
2018-02-02 03:00:00-05:00,0.35,0.31,-10.78
2017-10-27 03:00:00-04:00,0.32,0.34,7.08
2017-07-28 03:00:00-04:00,0.27,0.28,2.24
2017-04-28 03:00:00-04:00,0.19,0.22,17.34
2017-02-03 03:00:00-05:00,0.15,0.14,-9.09
2016-10-28 03:00:00-04:00,0.22,0.23,6.43
2016-08-05 03:00:00-04:00,0.19,0.17,-12.37
2016-05-06 03:00:00-04:00,0.2,0.24,18.4
2016-02-05 03:00:00-05:00,0.24,0.24,1.6
2015-10-30 03:00:00-04:00,0.27,0.35,30.64
2015-07-31 03:00:00-04:00,0.2,0.26,28.17
2015-05-01 03:00:00-04:00,0.25,0.19,-23.41
2015-01-30 03:00:00-05:00,0.29,0.27,-5.77
2014-10-31 03:00:00-04:00,0.29,0.33,11.88
2014-08-01 03:00:00-04:00,0.35,0.4,14.7
2014-04-25 03:00:00-04:00,0.24,0.26,10.56
2014-01-31 03:00:00-05:00,0.28,0.27,-1.86
2013-10-25 03:00:00-04:00,0.22,0.27,23.91
