EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-05 08:00:00-05:00,0.95,,
2025-10-30 06:00:00-04:00,1.32,0.88,-33.52
2025-07-31 06:00:00-04:00,0.64,0.75,16.29
2025-04-24 06:00:00-04:00,0.92,0.84,-8.64
2025-02-06 06:00:00-05:00,0.88,0.81,-7.48
2024-10-31 06:00:00-04:00,1.26,1.25,-0.95
2024-08-01 06:00:00-04:00,0.57,0.54,-5.33
2024-04-25 06:00:00-04:00,0.77,0.88,13.61
2024-01-25 06:00:00-05:00,0.83,0.83,-0.41
2023-10-27 06:00:00-04:00,1.26,1.23,-2.65
2023-07-27 06:00:00-04:00,0.57,0.52,-8.0
2023-04-27 06:00:00-04:00,0.74,0.76,2.98
2023-01-26 06:00:00-05:00,0.67,0.69,2.36
2022-10-27 06:00:00-04:00,1.22,1.18,-3.23
2022-07-28 06:00:00-04:00,0.6,0.6,-0.58
2022-04-28 06:00:00-04:00,0.68,0.7,3.26
2022-01-27 06:00:00-05:00,0.57,0.58,0.96
2021-10-28 06:00:00-04:00,1.17,1.13,-3.82
2021-07-29 06:00:00-04:00,0.57,0.58,2.05
2021-04-29 06:00:00-04:00,0.61,0.67,10.48
2021-01-28 06:00:00-05:00,0.54,0.54,-0.19
2020-10-29 06:00:00-04:00,1.06,1.14,8.01
2020-07-30 06:00:00-04:00,0.49,0.54,10.53
2020-05-07 07:00:00-04:00,0.59,0.56,-5.19
2020-01-30 06:00:00-05:00,0.54,0.56,3.38
2019-10-24 06:00:00-04:00,1.03,1.01,-1.78
2019-08-01 06:00:00-04:00,0.53,0.46,-12.41
2019-04-25 06:00:00-04:00,0.61,0.61,0.04
2019-01-31 06:00:00-05:00,0.41,0.42,1.45
2018-10-25 06:00:00-04:00,0.98,0.96,-2.0
2018-07-26 06:00:00-04:00,0.47,0.52,10.26
2018-04-26 06:00:00-04:00,0.51,0.57,12.05
2018-02-07 06:00:00-05:00,0.43,0.42,-1.51
2017-10-26 06:00:00-04:00,0.92,0.97,5.15
2017-07-27 06:00:00-04:00,0.42,0.45,6.67
2017-04-27 06:00:00-04:00,0.49,0.47,-3.25
2017-02-02 06:00:00-05:00,0.44,0.45,2.85
2016-10-27 06:00:00-04:00,0.87,0.9,3.34
2016-08-03 06:00:00-04:00,0.4,0.39,-3.25
2016-05-09 06:00:00-04:00,0.47,0.47,1.02
2016-01-28 06:00:00-05:00,0.4,0.41,1.47
2015-10-29 06:00:00-04:00,0.8,0.84,4.78
2015-07-30 06:00:00-04:00,0.4,0.39,-2.6
2015-04-30 06:00:00-04:00,0.5,0.46,-7.46
2015-01-29 06:00:00-05:00,0.34,0.39,14.22
2014-10-30 06:00:00-04:00,0.75,0.73,-3.2
2014-07-31 06:00:00-04:00,0.4,0.39,-3.69
2014-05-01 06:00:00-04:00,0.5,0.52,3.19
2014-01-30 06:00:00-05:00,0.29,0.3,2.81
2013-10-24 06:00:00-04:00,0.77,0.77,-0.02
