EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-19 16:00:00-05:00,0.68,,
2025-11-06 16:00:00-05:00,0.66,0.54,-18.09
2025-08-07 16:00:00-04:00,0.66,0.62,-5.94
2025-05-01 16:00:00-04:00,0.92,0.56,-38.85
2025-02-20 16:00:00-05:00,0.87,0.71,-18.79
2024-11-07 16:00:00-05:00,0.35,0.45,30.26
2024-08-01 16:00:00-04:00,0.84,0.93,11.36
2024-05-02 16:00:00-04:00,0.73,0.85,16.43
2024-02-22 16:00:00-05:00,0.57,0.45,-21.07
2023-11-02 16:00:00-04:00,0.46,0.55,18.75
2023-08-03 16:00:00-04:00,0.37,0.39,5.66
2023-05-04 16:00:00-04:00,0.34,0.4,17.42
2023-02-23 16:00:00-05:00,0.3,0.22,-27.01
2022-11-03 16:00:00-04:00,0.23,0.42,83.29
2022-08-04 16:00:00-04:00,0.16,0.18,12.25
2022-05-05 16:00:00-04:00,0.2,0.18,-10.62
2022-02-24 16:00:00-05:00,0.23,0.27,16.23
2021-11-04 21:00:00-04:00,0.38,0.37,-3.04
2021-08-02 06:00:00-04:00,0.31,0.66,113.04
2021-05-06 16:00:00-04:00,0.16,0.41,149.85
2021-02-23 16:00:00-05:00,0.24,0.32,33.27
2020-11-05 16:00:00-05:00,0.16,0.34,112.74
2020-08-05 06:00:00-04:00,-0.05,0.18,453.43
2020-05-06 16:00:00-04:00,0.13,-0.02,-115.59
2020-02-26 16:00:00-05:00,0.21,0.23,9.82
2019-11-06 16:00:00-05:00,0.2,0.25,23.48
2019-08-01 16:00:00-04:00,0.16,0.21,28.68
2019-05-01 16:00:00-04:00,0.08,0.11,40.45
2019-02-27 16:00:00-05:00,0.13,0.14,3.91
2018-11-07 16:00:00-05:00,0.11,0.13,16.45
2018-08-01 16:00:00-04:00,0.11,0.13,15.01
2018-05-02 16:00:00-04:00,0.05,0.06,11.94
2018-02-27 16:00:00-05:00,0.07,0.08,18.05
2017-11-08 16:00:00-05:00,0.05,0.07,29.46
2017-08-02 16:00:00-04:00,0.05,0.07,39.19
2017-05-03 12:00:00-04:00,0.02,0.05,130.95
2017-02-22 16:00:00-05:00,-0.07,-0.04,38.72
2016-11-01 16:00:00-04:00,-0.12,-0.09,22.25
2016-08-03 16:00:00-04:00,-0.03,-0.08,-144.57
2016-05-05 16:00:00-04:00,-0.08,-0.29,-250.33
2016-03-10 16:00:00-05:00,-0.11,-0.21,-94.52
