EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-04 08:00:00-05:00,1.76,,
2025-11-04 07:00:00-05:00,1.48,1.58,6.68
2025-08-05 07:00:00-04:00,1.46,1.44,-1.34
2025-04-30 07:00:00-04:00,1.29,0.9,-30.39
2025-02-06 07:00:00-05:00,1.6,1.61,0.88
2024-11-05 07:00:00-05:00,1.41,1.37,-2.83
2024-08-06 07:00:00-04:00,1.33,1.35,1.45
2024-05-01 07:00:00-04:00,1.2,1.15,-4.56
2024-02-07 07:00:00-05:00,1.4,1.26,-10.08
2023-11-01 07:00:00-04:00,1.27,1.44,13.15
2023-08-02 07:00:00-04:00,1.24,1.41,13.5
2023-05-03 07:00:00-04:00,1.13,1.06,-6.25
2023-02-08 07:00:00-05:00,1.26,1.31,3.92
2022-11-02 07:00:00-04:00,1.15,1.09,-5.27
2022-08-03 07:00:00-04:00,1.09,1.05,-3.86
2022-05-04 07:00:00-04:00,1.07,1.05,-2.06
2022-02-09 07:00:00-05:00,1.09,1.02,-6.66
2021-10-28 07:00:00-04:00,1.08,1.22,12.57
2021-07-29 07:00:00-04:00,0.95,1.16,22.34
2021-04-28 07:00:00-04:00,0.87,1.07,23.56
2021-02-04 07:00:00-05:00,1.01,1.15,14.08
2020-10-29 07:00:00-04:00,0.79,1.01,27.1
2020-07-30 07:00:00-04:00,0.55,0.82,48.95
2020-04-29 08:00:00-04:00,0.67,0.64,-4.61
2020-02-06 07:00:00-05:00,1.13,1.0,-11.46
2019-10-30 07:00:00-04:00,0.94,0.8,-15.13
2019-08-01 07:00:00-04:00,0.88,0.93,6.25
2019-05-01 07:00:00-04:00,0.82,0.82,-0.09
2019-02-07 07:00:00-05:00,0.96,0.4,-58.47
2018-10-31 07:00:00-04:00,0.83,1.04,26.03
2018-08-02 07:00:00-04:00,0.74,0.82,10.27
2018-05-02 07:00:00-04:00,0.69,0.9,31.28
2018-02-08 07:00:00-05:00,0.8,0.96,20.62
2017-11-02 07:00:00-04:00,0.67,0.68,1.84
2017-08-03 07:00:00-04:00,0.61,0.68,11.49
2017-05-03 07:00:00-04:00,0.59,0.65,9.32
2017-02-09 07:00:00-05:00,0.73,0.79,8.59
2016-10-05 16:00:00-04:00,1.1,1.09,-0.82
2016-07-13 17:00:00-04:00,0.74,0.75,1.56
2016-04-20 16:00:00-04:00,0.83,0.95,14.52
2016-02-03 16:00:00-05:00,0.66,0.68,2.99
2015-10-06 16:00:00-04:00,1.07,1.0,-6.33
2015-07-14 16:00:00-04:00,0.63,0.69,9.48
2015-04-21 16:00:00-04:00,0.71,0.8,12.04
2015-02-04 16:00:00-05:00,0.66,0.61,-7.25
2014-10-07 16:00:00-04:00,0.87,0.87,0.27
2014-07-16 16:00:00-04:00,0.73,0.73,0.39
2014-04-22 17:00:00-04:00,0.84,0.87,3.92
2014-02-03 16:00:00-05:00,0.8,0.86,7.57
2013-10-08 16:00:00-04:00,0.93,0.85,-8.29
