EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-12 08:00:00-05:00,4.33,,
2025-10-28 06:00:00-04:00,3.75,3.88,3.4
2025-08-05 06:00:00-04:00,3.33,3.61,8.45
2025-04-29 06:00:00-04:00,3.63,4.02,10.82
2025-02-13 06:00:00-05:00,3.12,3.14,0.75
2024-10-29 06:00:00-04:00,3.22,3.49,8.41
2024-07-30 07:00:00-04:00,2.81,3.18,13.33
2024-04-30 06:00:00-04:00,2.43,2.84,16.91
2024-02-15 06:00:00-05:00,1.64,1.71,4.17
2023-10-31 06:00:00-04:00,0.84,0.87,4.06
2023-08-01 06:00:00-04:00,3.28,3.29,0.26
2023-05-02 06:00:00-04:00,3.91,3.94,0.67
2023-02-16 06:00:00-05:00,4.59,4.75,3.48
2022-11-01 06:00:00-04:00,4.54,4.12,-9.15
2022-08-02 06:00:00-04:00,4.2,4.61,9.75
2022-05-03 06:00:00-04:00,3.87,4.01,3.54
2022-02-10 06:00:00-05:00,4.4,4.54,3.14
2021-11-02 06:00:00-04:00,4.05,4.55,12.23
2021-08-03 06:00:00-04:00,4.12,4.57,10.91
2021-05-04 06:00:00-04:00,4.4,4.79,8.94
2021-02-11 06:00:00-05:00,3.8,4.46,17.37
2020-11-03 06:00:00-05:00,2.81,3.27,16.26
2020-07-28 06:00:00-04:00,2.28,2.41,5.8
2020-04-28 06:00:00-04:00,2.64,2.67,1.0
2020-02-13 06:00:00-05:00,3.65,3.56,-2.47
2019-10-29 06:00:00-04:00,3.28,3.43,4.45
2019-07-30 06:00:00-04:00,2.89,3.02,4.62
2019-04-30 06:00:00-04:00,2.88,2.92,1.47
2019-02-14 06:00:00-05:00,2.93,3.1,5.76
2018-11-06 06:00:00-05:00,2.61,2.88,10.18
2018-08-07 06:00:00-04:00,2.23,2.48,11.0
2018-05-08 06:00:00-04:00,2.05,2.56,24.74
2018-02-22 06:00:00-05:00,2.12,2.33,9.91
2017-11-07 06:00:00-05:00,1.73,1.87,7.99
2017-08-08 06:00:00-04:00,1.45,1.51,4.09
2017-05-09 06:00:00-04:00,1.3,1.37,5.68
2017-02-23 06:00:00-05:00,1.73,1.93,11.85
2016-11-15 06:00:00-05:00,1.41,1.43,1.18
2016-08-09 06:00:00-04:00,1.05,1.34,27.06
2016-05-10 06:00:00-04:00,1.22,1.01,-17.21
2016-02-25 06:00:00-05:00,1.47,1.51,3.03
2015-11-10 06:00:00-05:00,1.23,1.39,13.47
2015-08-11 06:00:00-04:00,1.18,1.05,-11.02
2015-05-13 06:00:00-04:00,1.11,1.39,25.68
2015-03-17 03:00:00-04:00,1.02,1.19,16.49
2014-11-04 03:00:00-05:00,0.88,0.93,5.68
2014-08-05 03:00:00-04:00,0.81,0.84,3.92
2014-05-06 03:00:00-04:00,0.9,0.9,-0.33
2014-02-19 03:00:00-05:00,0.78,0.91,16.67
2013-11-05 03:00:00-05:00,0.68,0.77,13.32
